interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
4800,4.726785,11.20523,18.27248,25.44237
4810,4.731251,11.20712,18.27364,25.4432
4820,4.735721,11.20901,18.2748,25.44403
4830,4.740196,11.21089,18.27595,25.44486
4840,4.744677,11.21279,18.27711,25.44569
4850,4.749162,11.21469,18.27828,25.44653
4860,4.753652,11.21659,18.27944,25.44737
4870,4.758148,11.21849,18.28061,25.44821
4880,4.762648,11.2204,18.28178,25.44905
4890,4.767154,11.22231,18.28295,25.44989
4900,4.771664,11.22423,18.28413,25.45074
4910,4.776179,11.22614,18.2853,25.45158
4920,4.7807,11.22806,18.28649,25.45243
4930,4.785224,11.22999,18.28767,25.45328
4940,4.789755,11.23192,18.28885,25.45413
4950,4.79429,11.23385,18.29004,25.45498
4960,4.798829,11.23579,18.29123,25.45584
4970,4.803374,11.23773,18.29242,25.45669
4980,4.807923,11.23967,18.29361,25.45755
4990,4.812477,11.24162,18.29481,25.45841
5000,4.817036,11.24357,18.29601,25.45927
5010,4.8216,11.24553,18.29721,25.46014
5020,4.826169,11.24748,18.29841,25.461
5030,4.830742,11.24944,18.29962,25.46187
5040,4.83532,11.25141,18.30083,25.46274
5050,4.839903,11.25338,18.30204,25.4636
5060,4.844491,11.25535,18.30325,25.46447
5070,4.849084,11.25732,18.30446,25.46535
5080,4.853681,11.2593,18.30568,25.46622
5090,4.858283,11.26129,18.3069,25.4671
5100,4.862889,11.26327,18.30812,25.46798
5110,4.8675,11.26526,18.30935,25.46886
5120,4.872116,11.26726,18.31057,25.46974
5130,4.876736,11.26925,18.3118,25.47062
5140,4.881361,11.27125,18.31303,25.47151
5150,4.885991,11.27326,18.31426,25.47239
5160,4.890625,11.27527,18.3155,25.47328
5170,4.895264,11.27728,18.31674,25.47417
5180,4.899907,11.27929,18.31798,25.47507
5190,4.904555,11.28131,18.31922,25.47596
5200,4.909207,11.28333,18.32047,25.47685
5210,4.913865,11.28536,18.32171,25.47775
5220,4.918526,11.28738,18.32296,25.47865
5230,4.923192,11.28942,18.32421,25.47955
5240,4.927863,11.29145,18.32547,25.48045
5250,4.932538,11.29349,18.32673,25.48136
5260,4.937217,11.29554,18.32798,25.48226
5270,4.941901,11.29758,18.32924,25.48317
5280,4.946589,11.29963,18.33051,25.48408
5290,4.951282,11.30168,18.33177,25.48499
5300,4.955979,11.30374,18.33304,25.4859
5310,4.960681,11.3058,18.33431,25.48681
5320,4.965387,11.30787,18.33558,25.48772
5330,4.970098,11.30993,18.33686,25.48864
5340,4.974812,11.312,18.33813,25.48956
5350,4.979532,11.31408,18.33941,25.49048
5360,4.984255,11.31616,18.3407,25.49141
5370,4.988983,11.31824,18.34198,25.49233
5380,4.993715,11.32032,18.34326,25.49325
5390,4.998451,11.32241,18.34455,25.49418
5400,5.003191,11.3245,18.34584,25.49511
5410,5.007937,11.3266,18.34714,25.49604
5420,5.012686,11.3287,18.34843,25.49697
5430,5.017439,11.3308,18.34973,25.49791
5440,5.022197,11.33291,18.35103,25.49884
